date,science and engineering practices,sciencealert,science academy,science articles 2017,science activities for kids,isPartial
2015-11-08,0,3,70,0,3,False
2015-11-15,1,3,77,0,3,False
2015-11-22,1,3,60,0,4,False
2015-11-29,1,4,78,0,4,False
2015-12-06,1,5,72,0,2,False
2015-12-13,1,4,71,0,3,False
2015-12-20,0,3,42,0,2,False
2015-12-27,0,2,52,0,3,False
2016-01-03,1,2,76,0,3,False
2016-01-10,1,1,77,0,3,False
2016-01-17,1,1,73,0,5,False
2016-01-24,0,4,78,0,2,False
2016-01-31,0,2,83,0,2,False
2016-02-07,0,2,79,0,2,False
2016-02-14,0,2,73,0,3,False
2016-02-21,1,3,85,0,3,False
2016-02-28,0,2,80,0,3,False
2016-03-06,1,2,75,0,4,False
2016-03-13,1,3,74,0,5,False
2016-03-20,0,2,66,0,3,False
2016-03-27,0,2,73,0,3,False
2016-04-03,1,2,67,0,2,False
2016-04-10,1,2,69,0,2,False
2016-04-17,1,3,74,0,5,False
2016-04-24,1,3,62,0,4,False
2016-05-01,1,5,71,0,3,False
2016-05-08,0,3,73,0,4,False
2016-05-15,1,2,74,0,2,False
2016-05-22,0,3,70,0,3,False
2016-05-29,1,4,69,0,3,False
2016-06-05,0,3,75,0,3,False
2016-06-12,1,4,64,0,3,False
2016-06-19,1,3,64,0,3,False
2016-06-26,0,4,60,0,4,False
2016-07-03,0,3,56,0,3,False
2016-07-10,0,1,58,0,3,False
2016-07-17,0,2,69,0,3,False
2016-07-24,0,2,75,0,4,False
2016-07-31,1,2,75,0,2,False
2016-08-07,2,2,81,0,3,False
2016-08-14,2,3,75,0,3,False
2016-08-21,2,3,78,0,3,False
2016-08-28,2,2,77,0,3,False
2016-09-04,0,2,79,0,4,False
2016-09-11,1,4,77,0,2,False
2016-09-18,3,2,79,0,3,False
2016-09-25,1,3,72,0,4,False
2016-10-02,1,3,76,0,2,False
2016-10-09,1,3,66,0,3,False
2016-10-16,1,2,70,0,2,False
2016-10-23,1,2,69,0,2,False
2016-10-30,1,3,74,0,3,False
2016-11-06,1,2,60,0,3,False
2016-11-13,2,2,68,0,3,False
2016-11-20,1,3,50,0,2,False
2016-11-27,1,1,68,0,3,False
2016-12-04,1,2,70,0,2,False
2016-12-11,1,4,70,0,2,False
2016-12-18,0,4,53,0,2,False
2016-12-25,0,2,50,0,3,False
2017-01-01,1,3,81,0,3,False
2017-01-08,1,2,79,1,3,False
2017-01-15,1,2,73,2,2,False
2017-01-22,1,3,75,1,3,False
2017-01-29,1,2,79,2,3,False
2017-02-05,1,3,78,1,3,False
2017-02-12,1,3,77,2,4,False
2017-02-19,1,4,84,2,3,False
2017-02-26,1,2,87,2,1,False
2017-03-05,1,3,93,3,2,False
2017-03-12,1,3,74,1,2,False
2017-03-19,1,1,77,1,3,False
2017-03-26,1,4,74,4,4,False
2017-04-02,0,3,76,2,3,False
2017-04-09,0,2,66,1,2,False
2017-04-16,1,2,69,1,2,False
2017-04-23,1,4,72,1,3,False
2017-04-30,1,4,78,2,2,False
2017-05-07,1,4,67,1,3,False
2017-05-14,1,3,75,1,6,False
2017-05-21,1,2,69,1,3,False
2017-05-28,1,2,71,2,3,False
2017-06-04,1,2,71,1,3,False
2017-06-11,1,3,69,1,4,False
2017-06-18,1,1,72,1,4,False
2017-06-25,1,2,69,1,3,False
2017-07-02,0,2,67,1,2,False
2017-07-09,0,3,73,1,3,False
2017-07-16,1,2,78,1,2,False
2017-07-23,1,4,74,1,3,False
2017-07-30,1,2,83,1,3,False
2017-08-06,1,2,93,1,3,False
2017-08-13,1,2,92,2,4,False
2017-08-20,2,3,87,4,2,False
2017-08-27,2,3,79,3,3,False
2017-09-03,2,2,80,5,3,False
2017-09-10,2,2,77,5,3,False
2017-09-17,1,2,80,4,2,False
2017-09-24,2,2,73,5,5,False
2017-10-01,1,2,65,5,2,False
2017-10-08,2,2,83,2,3,False
2017-10-15,1,3,73,4,3,False
2017-10-22,2,2,76,4,2,False
2017-10-29,1,1,73,4,3,False
2017-11-05,2,2,77,4,3,False
2017-11-12,1,2,75,3,4,False
2017-11-19,1,2,57,2,3,False
2017-11-26,1,3,80,4,4,False
2017-12-03,2,3,72,4,2,False
2017-12-10,1,4,75,3,2,False
2017-12-17,0,2,64,1,2,False
2017-12-24,0,2,42,1,2,False
2017-12-31,1,2,66,2,3,False
2018-01-07,1,3,79,1,2,False
2018-01-14,1,3,79,1,3,False
2018-01-21,1,1,54,0,1,True
